transaction_id,customer_id,product_id,product_name,category,quantity_sold,unit_price,unit_cost,transaction_date,store_id,store_location,inventory_level,reorder_point,reorder_quantity,supplier_id,supplier_lead_time,customer_age,customer_gender,customer_income,customer_loyalty_level,payment_method,promotion_applied,promotion_type,weather_conditions,holiday_indicator,stockout_indicator,forecasted_demand,actual_demand
TX-1001,C-91778,P-LIM-304,Jabón en Barra x3,Limpieza,3,2.84,1.28,08/05/2024,NY-02,Nueva York,68,33,148,SUP-018,4,49,M,73265,Plata,Efectivo,No,Sin Promoción,Tormenta,Sí,No,93.6,99.6
TX-1002,C-65732,P-CUI-184,Cepillo Dental,Cuidado Personal,2,2.08,0.9,10/06/2024,CHI-02,Chicago,35,22,60,SUP-018,2,31,F,88033,Bronce,Transferencia,Sí,Precio Especial,Nieve,Sí,No,148.1,131.3
TX-1003,C-20637,P-LÁC-709,Yogur de Fresa,Lácteos,9,2.91,1.47,19/01/2024,LA-01,Los Ángeles,22,13,55,SUP-016,15,45,Otro,29274,Plata,Efectivo,Sí,Sin Promoción,Lluvia,Sí,No,192.2,169.2
TX-1004,C-89696,P-ALI-553,Atún en Lata,Alimentos,3,1.87,0.94,21/12/2024,MIA-02,Miami,17,25,64,SUP-020,6,44,M,30646,Bronce,Tarjeta Débito,No,Sin Promoción,Nublado,Sí,No,190.6,222.9
TX-1005,C-86767,P-CUI-889,Cepillo Dental,Cuidado Personal,5,2.01,0.89,04/07/2024,NY-02,Nueva York,65,15,68,SUP-010,2,71,M,62228,Plata,Transferencia,No,Sin Promoción,Lluvia,No,No,124.5,140.1
TX-1006,C-23860,P-CUI-285,Acondicionador 400ml,Cuidado Personal,12,6.23,3.18,15/08/2024,CHI-01,Chicago,110,17,129,SUP-008,11,73,Otro,112466,Oro,Tarjeta Débito,Sí,Sin Promoción,Lluvia,No,No,202.2,168.2
TX-1007,C-48126,P-LIM-362,Jabón en Barra x3,Limpieza,11,2.72,1.28,01/09/2024,MIA-02,Miami,120,27,82,SUP-009,15,44,Otro,98085,Plata,Efectivo,No,Sin Promoción,Tormenta,No,No,83.8,78.3
TX-1008,C-55290,P-LÁC-104,Queso Mozzarella,Lácteos,4,4.59,2.53,23/11/2024,LA-01,Los Ángeles,96,18,156,SUP-008,15,60,F,18474,Bronce,Billetera Digital,Sí,Descuento %,Niebla,No,No,287.5,342.5
TX-1009,C-47683,P-LÁC-903,Leche Evaporada,Lácteos,5,1.64,0.87,27/08/2024,CHI-01,Chicago,81,27,185,SUP-020,21,30,Otro,20702,Bronce,Efectivo,Sí,Precio Especial,Soleado,Sí,No,192.8,182.7
TX-1010,C-68530,P-CUI-688,Hilo Dental 50m,Cuidado Personal,7,2.47,1.12,29/03/2024,CHI-01,Chicago,43,18,167,SUP-005,6,73,Otro,109991,No Registrado,Transferencia,Sí,Cupón Digital,Lluvia,Sí,No,125.8,129.5
